,year,month,tournament_link,tournament_name,tournament_dates,tournament_prize_money,tournament_super_level,city,country,men_singles_winner,men_singles_runner_up,men_singles_third_place_1,men_singles_third_place_2,women_singles_winner,women_singles_runner_up,women_singles_third_place_1,women_singles_third_place_2,men_doubles_winner_1,men_doubles_winner_2,men_doubles_runner_up_1,men_doubles_runner_up_2,men_doubles_third_place_1_1,men_doubles_third_place_1_2,men_doubles_third_place_2_1,men_doubles_third_place_2_2,women_doubles_winner_1,women_doubles_winner_2,women_doubles_runner_up_1,women_doubles_runner_up_2,women_doubles_third_place_1_1,women_doubles_third_place_1_2,women_doubles_third_place_2_1,women_doubles_third_place_2_2,mixed_doubles_winner_1,mixed_doubles_winner_2,mixed_doubles_runner_up_1,mixed_doubles_runner_up_2,mixed_doubles_third_place_1_1,mixed_doubles_third_place_1_2,mixed_doubles_third_place_2_1,mixed_doubles_third_place_2_2
84,2022,"
OCTOBER ",https://bwfworldtour.bwfbadminton.com/tournament/4446/yonex-french-open-2022,YONEX French Open 2022,25 - 30 OCTOBER,"PRIZE MONEY USD $675,000",https://extranet.bwf.sport/docs/tmt-category/WT_750.svg,Paris,France,Viktor AXELSEN,Rasmus GEMKE,LEE Cheuk Yiu,Kodai NARAOKA,HE Bing Jiao,Carolina MARIN,TAI Tzu Ying,Akane YAMAGUCHI,Satwiksairaj RANKIREDDY,Chirag SHETTY,LU Ching Yao,YANG Po Han,CHOI Sol Gyu,KIM Won Ho,Ben LANE,Sean VENDY,TAN Pearly,THINAAH Muralitharan,Mayu MATSUMOTO,Wakana NAGAHARA,Yuki FUKUSHIMA,Sayaka HIROTA,BAEK Ha Na,LEE So Hee,ZHENG Si Wei,HUANG Ya Qiong,Robin TABELING,Selena PIEK,Rehan Naufal KUSHARJANTO,Lisa Ayu KUSUMAWATI,Mark LAMSFUSS,Isabel LOHAU
85,2022,"
NOVEMBER ",https://bwfworldtour.bwfbadminton.com/tournament/4481/hylo-open-2022,HYLO Open 2022,01 - 06 NOVEMBER,"PRIZE MONEY USD $180,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Saarbrücken,Germany,Anthony Sinisuka GINTING,CHOU Tien Chen,KIDAMBI Srikanth,Toma Junior POPOV,HAN Yue,ZHANG Yi Man,Nozomi OKUHARA,Gregoria Mariska TUNJUNG,LU Ching Yao,YANG Po Han,LEE Jhe-Huei,YANG Po-Hsuan,Kim ASTRUP,Anders Skaarup RASMUSSEN,Ben LANE,Sean VENDY,Benyapa AIMSAARD,Nuntakarn AIMSAARD,Jongkolphan KITITHARAKUL,Rawinda PRAJONGJAI,Treesa JOLLY,GAYATRI GOPICHAND PULLELA,ZHANG Shu Xian,ZHENG Yu,Rehan Naufal KUSHARJANTO,Lisa Ayu KUSUMAWATI,FENG Yan Zhe,HUANG Dong Ping,Thom GICQUEL,Delphine DELRUE,Mathias THYRRI,Amalie MAGELUND
86,2022,"
NOVEMBER ",https://bwfworldtour.bwfbadminton.com/tournament/4449/sathio-group-australian-open-2022,SATHIO GROUP Australian Open 2022,15 - 20 NOVEMBER,"PRIZE MONEY USD $180,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Sydney,Australia,SHI Yu Qi,LU Guang Zu,Kodai NARAOKA,NG Tze Yong,AN Se Young,Gregoria Mariska TUNJUNG,Pornpawee CHOCHUWONG,HAN Yue,LIU Yu Chen,OU Xuan Yi,ONG Yew Sin,TEO Ee Yi,HE Ji Ting,ZHOU Hao Dong,LEE Jhe-Huei,YANG Po-Hsuan,ZHANG Shu Xian,ZHENG Yu,Benyapa AIMSAARD,Nuntakarn AIMSAARD,JEONG Na Eun,KIM Hye Jeong,LEE Chia Hsin,TENG Chun Hsun,SEO Seung Jae,CHAE Yu Jung,KIM Won Ho,JEONG Na Eun,FENG Yan Zhe,HUANG Dong Ping,Dejan FERDINANSYAH,Gloria Emanuelle WIDJAJA
87,2023,JANUARY,https://bwfworldtour.bwfbadminton.com/tournament/4699/petronas-malaysia-open-2023,PETRONAS Malaysia Open 2023,10 - 15 JANUARY,"PRIZE MONEY USD $1,250,000",https://extranet.bwf.sport/docs/tmt-category/WT_1000.svg,Kuala Lumpur,Malaysia,Viktor AXELSEN,Kodai NARAOKA,Kanta TSUNEYAMA,Kunlavut VITIDSARN,Akane YAMAGUCHI,AN Se Young,CHEN Yu Fei,TAI Tzu Ying,Fajar ALFIAN,Muhammad Rian ARDIANTO,LIANG Wei Keng,WANG Chang,KANG Min Hyuk,SEO Seung Jae,Satwiksairaj RANKIREDDY,Chirag SHETTY,CHEN Qing Chen,JIA Yi Fan,BAEK Ha Na,LEE Yu Lim,Apriyani RAHAYU,Siti Fadia Silva RAMADHANTI,ZHANG Shu Xian,ZHENG Yu,ZHENG Si Wei,HUANG Ya Qiong,Yuta WATANABE,Arisa HIGASHINO,Dejan FERDINANSYAH,Gloria Emanuelle WIDJAJA,Dechapol PUAVARANUKROH,Sapsiree TAERATTANACHAI
88,2023,JANUARY,https://bwfworldtour.bwfbadminton.com/tournament/4700/yonex-sunrise-india-open-2023,YONEX SUNRISE India Open 2023,17 - 22 JANUARY,"PRIZE MONEY USD $850,000",https://extranet.bwf.sport/docs/tmt-category/WT_750.svg,New Delhi,India,Kunlavut VITIDSARN,Viktor AXELSEN,Jonatan CHRISTIE,Anthony Sinisuka GINTING,AN Se Young,Akane YAMAGUCHI,HE Bing Jiao,Supanida KATETHONG,LIANG Wei Keng,WANG Chang,Aaron CHIA,SOH Wooi Yik,Fajar ALFIAN,Muhammad Rian ARDIANTO,KANG Min Hyuk,SEO Seung Jae,Nami MATSUYAMA,Chiharu SHIDA,CHEN Qing Chen,JIA Yi Fan,JEONG Na Eun,KIM Hye Jeong,TAN Pearly,THINAAH Muralitharan,Yuta WATANABE,Arisa HIGASHINO,WANG Yi Lyu,HUANG Dong Ping,KIM Won Ho,JEONG Na Eun,ZHENG Si Wei,HUANG Ya Qiong
89,2023,JANUARY,https://bwfworldtour.bwfbadminton.com/tournament/4701/daihatsu-indonesia-masters-2023,DAIHATSU Indonesia Masters 2023,24 - 29 JANUARY,"PRIZE MONEY USD $420,000",https://extranet.bwf.sport/docs/tmt-category/WT_500.svg,Jakarta,Indonesia,Jonatan CHRISTIE,Chico  Aura DWI WARDOYO,NG Ka Long Angus,SHI Yu Qi,AN Se Young,Carolina MARIN,HAN Yue,WANG Zhi Yi,Leo Rolly CARNANDO,Daniel MARTHIN,HE Ji Ting,ZHOU Hao Dong,Takuro HOKI,Yugo KOBAYASHI,LIU Yu Chen,OU Xuan Yi,LIU Sheng Shu,ZHANG Shu Xian,Yuki FUKUSHIMA,Sayaka HIROTA,Jongkolphan KITITHARAKUL,Rawinda PRAJONGJAI,TAN Pearly,THINAAH Muralitharan,FENG Yan Zhe,HUANG Dong Ping,JIANG Zhen Bang,WEI Ya Xin,Thom GICQUEL,Delphine DELRUE,Yuki KANEKO,Misaki MATSUTOMO
90,2023,JANUARY,https://bwfworldtour.bwfbadminton.com/tournament/4702/princess-sirivannavari-thailand-masters-2023,PRINCESS SIRIVANNAVARI Thailand Masters 2023,31 JANUARY - 05 FEBRUARY,"PRIZE MONEY USD $210,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Bangkok,Thailand,LIN Chun-Yi,NG Ka Long Angus,LI Shi Feng,SHI Yu Qi,ZHANG Yi Man,HAN Yue,Wen Chi HSU,Supanida KATETHONG,Leo Rolly CARNANDO,Daniel MARTHIN,SU Ching Heng,YE Hong Wei,Supak JOMKOH,Kittinupong KEDREN,Muhammad Shohibul FIKRI,Bagas MAULANA,Benyapa AIMSAARD,Nuntakarn AIMSAARD,BAEK Ha Na,LEE So Hee,LI Wen Mei,LIU Xuan Xuan,TAN Ning,XIA Yu Ting,FENG Yan Zhe,HUANG Dong Ping,SEO Seung Jae,CHAE Yu Jung,KIM Won Ho,JEONG Na Eun,Hiroki MIDORIKAWA,Natsu SAITO
91,2023,"
MARCH ",https://bwfworldtour.bwfbadminton.com/tournament/4703/yonex-german-open-2023,YONEX German Open 2023,07 - 12 MARCH,"PRIZE MONEY USD $210,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Mulheim,Germany,NG Ka Long Angus,LI Shi Feng,LEE Cheuk Yiu,Kento MOMOTA,Akane YAMAGUCHI,AN Se Young,CHEN Yu Fei,HE Bing Jiao,CHOI Sol Gyu,KIM Won Ho,KANG Min Hyuk,SEO Seung Jae,Akira KOGA,Taichi SAITO,LEE Jhe-Huei,YANG Po-Hsuan,BAEK Ha Na,LEE So Hee,Nami MATSUYAMA,Chiharu SHIDA,KIM So Yeong,KONG Hee Yong,TAN Pearly,THINAAH Muralitharan,FENG Yan Zhe,HUANG Dong Ping,KIM Won Ho,JEONG Na Eun,Hiroki MIDORIKAWA,Natsu SAITO,Kyohei YAMASHITA,Naru SHINOYA
92,2023,"
MARCH ",https://bwfworldtour.bwfbadminton.com/tournament/4704/yonex-all-england-open-badminton-championships-2023,YONEX All England Open Badminton Championships 2023,14 - 19 MARCH,"PRIZE MONEY USD $1,250,000",https://extranet.bwf.sport/docs/tmt-category/WT_1000.svg,Birmingham,England,LI Shi Feng,SHI Yu Qi,Anders ANTONSEN,LEE Zii Jia,AN Se Young,CHEN Yu Fei,TAI Tzu Ying,Akane YAMAGUCHI,Fajar ALFIAN,Muhammad Rian ARDIANTO,Mohammad AHSAN,Hendra SETIAWAN,HE Ji Ting,ZHOU Hao Dong,LIANG Wei Keng,WANG Chang,KIM So Yeong,KONG Hee Yong,BAEK Ha Na,LEE So Hee,Treesa JOLLY,GAYATRI GOPICHAND PULLELA,ZHANG Shu Xian,ZHENG Yu,ZHENG Si Wei,HUANG Ya Qiong,SEO Seung Jae,CHAE Yu Jung,KIM Won Ho,JEONG Na Eun,Rehan Naufal KUSHARJANTO,Lisa Ayu KUSUMAWATI
93,2023,"
MARCH ",https://bwfworldtour.bwfbadminton.com/tournament/4705/yonex-swiss-open-2023,YONEX Swiss Open 2023,21 - 26 MARCH,"PRIZE MONEY USD $210,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Basel,Switzerland,Koki WATANABE,CHOU Tien Chen,Viktor AXELSEN,LEE Zii Jia,Pornpawee CHOCHUWONG,Mia BLICHFELDT,Gregoria Mariska TUNJUNG,Beiwen ZHANG,Satwiksairaj RANKIREDDY,Chirag SHETTY,REN Xiang Yu,TAN Qiang,Ben LANE,Sean VENDY,ONG Yew Sin,TEO Ee Yi,Rena MIYAURA,Ayako SAKURAMOTO,Yuki FUKUSHIMA,Sayaka HIROTA,BAEK Ha Na,LEE So Hee,Apriyani RAHAYU,Siti Fadia Silva RAMADHANTI,JIANG Zhen Bang,WEI Ya Xin,GOH Soon Huat,LAI Shevon Jemie,Robin TABELING,Selena PIEK,YE Hong Wei,LEE Chia Hsin
94,2023,"
MARCH ",https://bwfworldtour.bwfbadminton.com/tournament/4706/madrid-spain-masters-2023,Madrid Spain Masters 2023,28 MARCH - 02 APRIL,"PRIZE MONEY USD $210,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Madrid,Spain,Kenta NISHIMOTO,Kanta TSUNEYAMA,Anders ANTONSEN,Toma Junior POPOV,Gregoria Mariska TUNJUNG,PUSARLA V. Sindhu,Carolina MARIN,YEO Jia Min,HE Ji Ting,ZHOU Hao Dong,Fang-Chih LEE,Fang-Jen LEE,SU Ching Heng,YE Hong Wei,REN Xiang Yu,TAN Qiang,LIU Sheng Shu,TAN Ning,CHEN Fang Hui,DU Yue,BAEK Ha Na,LEE So Hee,Maiken FRUERGAARD,Sara THYGESEN,Mathias CHRISTIANSEN,Alexandra BØJE,Praveen JORDAN,Melati Daeva OKTAVIANTI,Gregory MAIRS,Jenny MOORE,Mathias THYRRI,Amalie MAGELUND
95,2023,"
APRIL ",https://bwfworldtour.bwfbadminton.com/tournament/4707/orleans-masters-badminton-2023-presented-by-victor,Orléans Masters Badminton 2023 presented by VICTOR,04 - 09 APRIL,"PRIZE MONEY USD $240,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Orleans,France,Priyanshu RAJAWAT,Magnus JOHANNESEN,LEI Lan Xi,Nhat NGUYEN,Carolina MARIN,Beiwen ZHANG,Line Højmark KJAERSFELDT,Yvonne LI,CHEN Bo Yang,LIU Yi,Muhammad Shohibul FIKRI,Bagas MAULANA,Leo Rolly CARNANDO,Daniel MARTHIN,LEE Jhe-Huei,YANG Po-Hsuan,Rena MIYAURA,Ayako SAKURAMOTO,LIU Sheng Shu,TAN Ning,Lanny Tria MAYASARI,Ribka SUGIARTO,Maiken FRUERGAARD,Sara THYGESEN,CHEN Tang Jie,TOH Ee Wei,YE Hong Wei,LEE Chia Hsin,Rehan Naufal KUSHARJANTO,Lisa Ayu KUSUMAWATI,Adnan MAULANA,Nita Violina MARWAH
96,2023,"
MAY ",https://bwfworldtour.bwfbadminton.com/tournament/4709/perodua-malaysia-masters-2023-presented-by-daihatsu,PERODUA Malaysia Masters 2023 presented by DAIHATSU,23 - 28 MAY,"PRIZE MONEY USD $420,000",https://extranet.bwf.sport/docs/tmt-category/WT_500.svg,Kuala Lumpur,Malaysia,PRANNOY H. S.,WENG Hong Yang,Christian ADINATA,LIN Chun-Yi,Akane YAMAGUCHI,Gregoria Mariska TUNJUNG,HAN Yue,PUSARLA V. Sindhu,KANG Min Hyuk,SEO Seung Jae,MAN Wei Chong,Kai Wun TEE,Leo Rolly CARNANDO,Daniel MARTHIN,Takuro HOKI,Yugo KOBAYASHI,BAEK Ha Na,LEE So Hee,TAN Pearly,THINAAH Muralitharan,JEONG Na Eun,KIM Hye Jeong,Mayu MATSUMOTO,Wakana NAGAHARA,Dechapol PUAVARANUKROH,Sapsiree TAERATTANACHAI,FENG Yan Zhe,HUANG Dong Ping,Supak JOMKOH,Supissara PAEWSAMPRAN,SEO Seung Jae,CHAE Yu Jung
97,2023,"
MAY ",https://bwfworldtour.bwfbadminton.com/tournament/4710/toyota-gazoo-racing-thailand-open-2023,TOYOTA GAZOO RACING Thailand Open 2023,30 MAY - 04 JUNE,"PRIZE MONEY USD $420,000",https://extranet.bwf.sport/docs/tmt-category/WT_500.svg,Bangkok,Thailand,Kunlavut VITIDSARN,LEE Cheuk Yiu,Toma Junior POPOV,Lakshya SEN,AN Se Young,HE Bing Jiao,Mia BLICHFELDT,Carolina MARIN,LIANG Wei Keng,WANG Chang,Muhammad Shohibul FIKRI,Bagas MAULANA,CHOI Sol Gyu,KIM Won Ho,Marcus Fernaldi GIDEON,Kevin Sanjaya SUKAMULJO,KIM So Yeong,KONG Hee Yong,Benyapa AIMSAARD,Nuntakarn AIMSAARD,BAEK Ha Na,LEE So Hee,Jongkolphan KITITHARAKUL,Rawinda PRAJONGJAI,KIM Won Ho,JEONG Na Eun,Dechapol PUAVARANUKROH,Sapsiree TAERATTANACHAI,Mathias CHRISTIANSEN,Alexandra BØJE,YE Hong Wei,LEE Chia Hsin
98,2023,"
JUNE ",https://bwfworldtour.bwfbadminton.com/tournament/4711/kff-singapore-open-2023,KFF Singapore Open 2023,06 - 11 JUNE,"PRIZE MONEY USD $850,000",https://extranet.bwf.sport/docs/tmt-category/WT_750.svg,Singapore,Singapore,Anthony Sinisuka GINTING,Anders ANTONSEN,Kodai NARAOKA,Kunlavut VITIDSARN,AN Se Young,Akane YAMAGUCHI,CHEN Yu Fei,TAI Tzu Ying,Takuro HOKI,Yugo KOBAYASHI,LIANG Wei Keng,WANG Chang,Aaron CHIA,SOH Wooi Yik,CHOI Sol Gyu,KIM Won Ho,CHEN Qing Chen,JIA Yi Fan,BAEK Ha Na,LEE So Hee,LI Wen Mei,LIU Xuan Xuan,ZHANG Shu Xian,ZHENG Yu,Mathias CHRISTIANSEN,Alexandra BØJE,Yuta WATANABE,Arisa HIGASHINO,CHEN Tang Jie,TOH Ee Wei,KIM Won Ho,JEONG Na Eun
99,2023,"
JUNE ",https://bwfworldtour.bwfbadminton.com/tournament/4712/kapal-api-group-indonesia-open-2023,KAPAL API GROUP Indonesia Open 2023,13 - 18 JUNE,"PRIZE MONEY USD $1,250,000",https://extranet.bwf.sport/docs/tmt-category/WT_1000.svg,Jakarta,Indonesia,Viktor AXELSEN,Anthony Sinisuka GINTING,LI Shi Feng,PRANNOY H. S.,CHEN Yu Fei,Carolina MARIN,AN Se Young,Ratchanok INTANON,Satwiksairaj RANKIREDDY,Chirag SHETTY,Aaron CHIA,SOH Wooi Yik,Pramudya KUSUMAWARDANA,Yeremia Erich Yoche Yacob RAMBITAN,KANG Min Hyuk,SEO Seung Jae,BAEK Ha Na,LEE So Hee,Yuki FUKUSHIMA,Sayaka HIROTA,JEONG Na Eun,KIM Hye Jeong,Mayu MATSUMOTO,Wakana NAGAHARA,ZHENG Si Wei,HUANG Ya Qiong,Yuta WATANABE,Arisa HIGASHINO,FENG Yan Zhe,HUANG Dong Ping,TANG Chun Man,TSE Ying Suet
100,2023,"
JUNE ",https://bwfworldtour.bwfbadminton.com/tournament/4713/yonex-taipei-open-2023,YONEX Taipei Open 2023,20 - 25 JUNE,"PRIZE MONEY USD $210,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Taipei,Chinese Taipei,Chico  Aura DWI WARDOYO,SU Li  Yang,NG Ka Long Angus,WANG Tzu Wei,TAI Tzu Ying,Beiwen ZHANG,Pornpicha CHOEIKEEWONG,Pitchamon OPATNIPUTH,MAN Wei Chong,Kai Wun TEE,LU Ching Yao,YANG Po Han,LIN Chia Yu,LIN Yong Sheng,ONG Yew Sin,TEO Ee Yi,LEE Yu Lim,SHIN Seung Chan,Febriana Dwipuji KUSUMA,Amallia Cahaya PRATIWI,HUNG En-Tzu,LIN Yu-Pei,LEE Chia Hsin,TENG Chun Hsun,CHEN Tang Jie,TOH Ee Wei,CHIU Hsiang Chieh,LIN Xiao Min,TSENG Min Hao,HSIEH Pei Shan,YE Hong Wei,LEE Chia Hsin
101,2023,"
JULY ",https://bwfworldtour.bwfbadminton.com/tournament/4714/yonex-canada-open-2023,YONEX Canada Open 2023,04 - 09 JULY,"PRIZE MONEY USD $420,000",https://extranet.bwf.sport/docs/tmt-category/WT_500.svg,Calgary,Canada,Lakshya SEN,LI Shi Feng,Kodai NARAOKA,Kenta NISHIMOTO,Akane YAMAGUCHI,Ratchanok INTANON,PUSARLA V. Sindhu,Beiwen ZHANG,Kim ASTRUP,Anders Skaarup RASMUSSEN,Rasmus KJÆR,Frederik SØGAARD,Akira KOGA,Taichi SAITO,LEE Yang,WANG Chi-Lin,Nami MATSUYAMA,Chiharu SHIDA,Mayu MATSUMOTO,Wakana NAGAHARA,Yuki FUKUSHIMA,Sayaka HIROTA,Jongkolphan KITITHARAKUL,Rawinda PRAJONGJAI,Hiroki MIDORIKAWA,Natsu SAITO,Mathias THYRRI,Amalie MAGELUND,LEE Jhe-Huei,HSU Ya Ching,Kyohei YAMASHITA,Naru SHINOYA
